year,county,s_county_N_below_supply,s_county_N_above_cost,s_county_N_below_quality
2018,St. Louis,.6376459,.024805447,.28745136
2013,St. Louis,.51410508,.0058365758,.086089492
2017,St. Louis,.65612841,.011673152,.29863814
2014,Scott,.52975607,.77560973,.15073171
2015,Scott,.56048781,.78390247,.29707319
2016,Scott,.5112195,.76585364,.098536588
2017,Scott,.57317072,.75951219,.11609756
2012,Scott,.37853658,.77365851,
2018,Scott,.4887805,.70048779,.093658537
2013,Scott,.41658536,.79365855,.19902439
2016,Sherburne,.55482817,.24386252,.076104745
2012,Sherburne,.54664487,.18085106,
2014,Sherburne,.5515548,.21685761,.025368249
2017,Sherburne,.62438625,.21603929,.073649757
2015,Sherburne,.5515548,.15139116,.017184943
2013,Sherburne,.53846157,.12684125,.090016365
2018,Sherburne,.59819967,.24795417,.086743042
2018,Stevens,.52040815,0,.25510204
2016,Stevens,.51020408,0,.23469388
2017,Stevens,.52040815,0,.20408164
2015,Stevens,.48979592,0,.17346939
2012,Stevens,.55102038,0,
2013,Stevens,.47959185,.030612245,.030612245
2014,Stevens,.48979592,.030612245,.020408163
2015,Swift,.30158731,0,.29365081
2013,Swift,.30952382,0,.30952382
2016,Swift,.33333334,.0079365084,.73809522
2012,Swift,.30952382,0,
2018,Swift,.31746033,0,.97619045
2017,Swift,.42063493,0,.95238096
2014,Swift,.26984128,0,.2857143
2017,Todd,.72699386,0,.25460124
2014,Todd,.78527606,0,.046012271
2015,Todd,.76687115,0,.064417176
2018,Todd,.76073617,0,.38343558
2013,Todd,.78220856,0,.058282208
2016,Todd,.71779144,0,.53374231
2012,Todd,.80981594,0,
2012,Wabasha,.38116592,.017937221,
2014,Wabasha,.43497759,.013452915,.013452915
2013,Wabasha,.39013454,.0044843052,.013452915
2017,Wabasha,.43946189,.0044843052,.23318386
2016,Wabasha,.40807176,.0089686103,.17040358
2018,Wabasha,.41255605,0,.1838565
2015,Wabasha,.39461884,.0044843052,.11210762
2012,Wilkin,.36206895,0,
2017,Wilkin,.25862068,0,1
2015,Wilkin,.25862068,0,.15517241
2013,Wilkin,.31034482,0,.22413793
2018,Wilkin,.25862068,0,1
2014,Wilkin,.25862068,0,.15517241
2016,Wilkin,.29310346,0,.93103451
