year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2013,1053,893,Cottonwood,.50692821,.03421938,0,.048270032,100.27444,123.27447,259.86664,14.103905,2.378695,87,64,67,70.5,45,20,8,66,15,78
2014,1053,893,Cottonwood,.54348737,.03421938,0,.092007428,95.810356,117.51856,148.7191,11.347468,1.3585767,87,62,69,76.5,44,24,4,21,28,30
2015,1053,893,Cottonwood,.56463033,.045248568,0,.092007428,92.784966,114.13471,133.29901,11.588778,1.2478197,87,50,65,79.5,42,19,2,13,33,28
2016,1053,893,Cottonwood,.51606774,.03421938,.043135695,.080241762,81.714432,247.96457,214.99702,17.336636,4.5427446,87,58,68,50,50,6,62,58,41,82
2017,1053,893,Cottonwood,.49861041,.045248568,.089198537,.1193721,83.030014,181.29147,126.39581,43.047745,1.1551753,87,59,65,32,35,8,5,13,63,31
2012,4073,2943,Crow Wing,.50758684,.12413579,,.047012147,121.08829,200.56537,,45.739227,,87,57,26,,49,63,25,,34,
2013,4073,2943,Crow Wing,.56547266,.14845891,9.6027210e-15,.043191481,125.76528,152.42046,181.12347,19.255661,1.3697355,87,54,24,51,48,64,23,30,45,28
2014,4073,2943,Crow Wing,.59629446,.17995712,.0082443878,.070199765,123.56911,160.39635,156.91492,15.768521,1.1664453,87,50,18,50,57,68,30,24,61,15
2015,4073,2943,Crow Wing,.56396157,.17795108,.044258222,.07182344,125.34267,167.7657,156.49561,15.754431,1.1561023,87,51,17,35,54,67,37,36,61,18
2016,4073,2943,Crow Wing,.48171291,.16152732,.048342746,.057320826,130.44902,161.80943,150.17511,34.113621,1.0980104,87,67,21,47,64,66,11,20,70,13
2017,4073,2943,Crow Wing,.50508064,.19916497,.11015451,.065782502,126.77359,222.9586,206.17529,37.633877,1.5032295,87,56,18,22,65,69,32,62,59,65
2012,26474,20503,Dakota,.58447027,.27166882,,.0074837701,201.18448,252.81328,,16.425701,,87,43,3,,78,86,50,,6,
2013,26474,20503,Dakota,.57864624,.28499642,.11863822,.0066786939,208.02568,257.78079,279.89264,13.687115,1.4599397,87,51,2,3,79,86,82,73,12,35
2014,26474,20503,Dakota,.58748788,.29372433,.1331377,.020489821,207.77759,262.8194,277.50967,8.4182472,1.4344357,87,52,5,6,83,86,84,81,8,42
2015,26474,20503,Dakota,.55622625,.28909084,.13695398,.019375905,214.05338,267.89474,281.75534,8.1702604,1.4119818,87,52,5,5,86,86,82,83,8,53
2016,26474,20503,Dakota,.57078898,.3175838,.14063166,.033814326,221.06488,276.92398,285.82922,8.0885735,1.3449348,87,44,3,11,80,86,71,76,7,46
2017,26474,20503,Dakota,.58605933,.32962894,.15996161,.054082811,214.00789,271.24774,279.53986,7.9889922,1.3166119,87,41,5,13,74,86,53,76,5,48
2012,1549,1049,Dodge,.69939882,.097266644,,.040645365,122.71103,226.48686,,32.740894,,87,25,43,,54,66,37,,19,
2013,1549,1049,Dodge,.76128387,.097266644,.00020216216,.040645365,123.97514,202.82664,182.80174,16.142454,1.4449574,87,24,44,42,50,62,68,31,30,34
2014,1549,1049,Dodge,.76701546,.097266644,.0002996212,.071616113,121.65401,202.65332,184.08188,11.663922,1.4367172,87,26,50,54,55,66,64,40,30,44
2015,1549,1049,Dodge,.74646246,.10347938,.00029962166,.062287316,126.67679,200.78574,189.92998,15.225819,1.4555217,87,25,41,59,58,70,66,59,56,58
2016,1549,1049,Dodge,.67474771,.10909022,.00042288392,.054857537,133.30499,171.23775,169.69157,28.258066,1.2098835,87,30,40,71,66,67,14,39,62,29
2017,1549,1049,Dodge,.62481517,.073893435,.0005815184,.07483916,126.29469,242.6577,177.28635,18.202223,1.2477821,87,33,54,75,60,67,41,46,32,42
2012,2266,1906,Douglas,.88188052,.10932368,,.06742458,108.57047,184.70061,,33.915031,,87,7,35,,36,49,13,,22,
2013,2266,1906,Douglas,1.0081204,.13698055,0,.12049124,108.37953,168.30861,202.46678,14.834942,1.6959232,87,4,29,70.5,14,37,47,40,19,51
2014,2266,1906,Douglas,1.0046021,.1344023,.010267626,.10999504,110.80444,169.0584,144.59427,13.470632,1.2218937,87,3,36,49,35,52,39,19,45,22
