adj_supply_hr,adj_supply_any,year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_ccc,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,share_hr
.0082443878,.59629446,2014,4073,2943,Crow Wing,.17995712,.070199765,123.56911,160.39635,156.91492,15.768521,1.1664453,87,50,18,50,57,68,30,24,61,15,.013826034
.044258222,.56396157,2015,4073,2943,Crow Wing,.17795108,.07182344,125.34267,167.7657,156.49561,15.754431,1.1561023,87,51,17,35,54,67,37,36,61,18,.078477375
.048342746,.48171291,2016,4073,2943,Crow Wing,.16152732,.057320826,130.44902,161.80943,150.17511,34.113621,1.0980104,87,67,21,47,64,66,11,20,70,13,.10035593
.11015451,.50508064,2017,4073,2943,Crow Wing,.19916497,.065782502,126.77359,222.9586,206.17529,37.633877,1.5032295,87,56,18,22,65,69,32,62,59,65,.21809292
.1179195,.50682533,2018,4073,2943,Crow Wing,.18980752,.073609062,131.44342,179.98199,158.22903,15.707529,1.098966,87,51,17,16,52,66,22,38,63,33,.23266301
,.58447027,2012,26474,20503,Dakota,.27166882,.0074837701,201.18448,252.81328,,16.425701,,87,43,3,,78,86,50,,6,,
.11863822,.57864624,2013,26474,20503,Dakota,.28499642,.0066786939,208.02568,257.78079,279.89264,13.687115,1.4599397,87,51,2,3,79,86,82,73,12,35,.20502721
.1331377,.58748788,2014,26474,20503,Dakota,.29372433,.020489821,207.77759,262.8194,277.50967,8.4182472,1.4344357,87,52,5,6,83,86,84,81,8,42,.22662205
.13695398,.55622625,2015,26474,20503,Dakota,.28909084,.019375905,214.05338,267.89474,281.75534,8.1702604,1.4119818,87,52,5,5,86,86,82,83,8,53,.24621992
.14063166,.57078898,2016,26474,20503,Dakota,.3175838,.033814326,221.06488,276.92398,285.82922,8.0885735,1.3449348,87,44,3,11,80,86,71,76,7,46,.24638118
.15996161,.58605933,2017,26474,20503,Dakota,.32962894,.054082811,214.00789,271.24774,279.53986,7.9889922,1.3166119,87,41,5,13,74,86,53,76,5,48,.27294439
.15805109,.53877854,2018,26474,20503,Dakota,.33195743,.021918036,250.8596,306.58765,316.10614,8.3773966,1.3478591,87,41,5,6,86,86,82,80,12,64,.29335076
,.69939882,2012,1549,1049,Dodge,.097266644,.040645365,122.71103,226.48686,,32.740894,,87,25,43,,54,66,37,,19,,
.00020216216,.76128387,2013,1549,1049,Dodge,.097266644,.040645365,123.97514,202.82664,182.80174,16.142454,1.4449574,87,24,44,42,50,62,68,31,30,34,.00026555423
.0002996212,.76701546,2014,1549,1049,Dodge,.097266644,.071616113,121.65401,202.65332,184.08188,11.663922,1.4367172,87,26,50,54,55,66,64,40,30,44,.00039063254
.00029962166,.74646246,2015,1549,1049,Dodge,.10347938,.062287316,126.67679,200.78574,189.92998,15.225819,1.4555217,87,25,41,59,58,70,66,59,56,58,.0004013888
.00042288392,.67474771,2016,1549,1049,Dodge,.10909022,.054857537,133.30499,171.23775,169.69157,28.258066,1.2098835,87,30,40,71,66,67,14,39,62,29,.00062672893
.0005815184,.62481517,2017,1549,1049,Dodge,.073893435,.07483916,126.29469,242.6577,177.28635,18.202223,1.2477821,87,33,54,75,60,67,41,46,32,42,.0009307047
.0079050651,.58583391,2018,1549,1049,Dodge,.073702559,.074823365,131.62941,216.61714,184.76245,11.711975,1.270618,87,32,53,73,51,67,55,60,37,57,.013493697
,.88188052,2012,2266,1906,Douglas,.10932368,.06742458,108.57047,184.70061,,33.915031,,87,7,35,,36,49,13,,22,,
