year,county,ShareCCC,ShareFCC,SharePublic,ShareHighRated,ShareLowRated
2015,Goodhue,.047619049,.8888889,.063492067,.08730159,.91269839
2015,Wright,.03626943,.91191709,.051813472,.06735751,.93264246
2015,Fillmore,.054545455,.83636361,.10909091,.10909091,.89090908
2015,Le Sueur,.010752688,.91397852,.07526882,.10752688,.8924731
2015,Rice,.044585988,.91719747,.038216561,.063694268,.93630576
2015,Mille Lacs,.089285716,.83928573,.071428575,.10714286,.89285713
2015,Houston,.014084507,.91549295,.070422538,.070422538,.92957747
2015,Beltrami,.045112781,.87218046,.082706764,.090225562,.90977442
2015,Sherburne,.058139537,.91085273,.031007752,.03875969,.96124029
2015,Martin,.02631579,.89473683,.078947365,.078947365,.92105263
2015,Wilkin,0,.88461536,.11538462,.11538462,.88461536
2015,Otter Tail,.018633541,.90683228,.074534163,.0931677,.90683228
2015,Saint Louis,.11370263,.78717202,.099125363,.12244898,.87755102
2015,McLeod,.050420169,.89075631,.05882353,.084033616,.91596639
2015,Clay,.05882353,.9197861,.021390375,.037433155,.96256685
2015,Morrison,.033898305,.88983053,.076271184,.18644068,.81355929
2015,Chippewa,.025641026,.94871795,.025641026,.12820514,.87179488
2015,Red Lake,.045454547,.72727275,.22727273,.27272728,.72727275
2015,Murray,.045454547,.90909094,.045454547,.045454547,.95454544
2015,Carver,.14070351,.81909549,.040201005,.090452261,.90954775
2015,Crow Wing,.096551724,.84827584,.055172414,.096551724,.90344828
2015,Stevens,.02631579,.89473683,.078947365,.10526316,.89473683
2015,Blue Earth,.10555556,.8611111,.033333335,.072222225,.92777777
2015,Steele,.032258064,.92903227,.038709678,.051612902,.94838709
2015,Brown,.038834952,.88349515,.077669904,.10679612,.89320385
2015,Chisago,.061946902,.8761062,.061946902,.079646021,.92035401
2015,Benton,.025477707,.955414,.019108281,.025477707,.97452229
2015,Cass,.028571429,.80000001,.17142858,.22857143,.77142859
2015,Watonwan,.11538462,.76923078,.11538462,.1923077,.80769229
2015,Douglas,.020833334,.93055558,.048611112,.069444448,.93055558
2015,Cook,.071428575,.85714287,.071428575,.071428575,.9285714
2015,Meeker,.039999999,.81999999,.14,.14,.86000001
2015,Nicollet,.11627907,.83720928,.046511628,.10465116,.89534885
2015,Itasca,.052083332,.78125,.16666667,.29166666,.70833331
2015,Cottonwood,.021739131,.89130437,.086956523,.086956523,.9130435
2015,Roseau,0,.93055558,.069444448,.069444448,.93055558
2015,Clearwater,0,.85714287,.14285715,.25,.75
2015,Pope,.03125,.9375,.03125,.03125,.96875
2015,Norman,.050000001,.80000001,.15000001,.15000001,.85000002
2015,Carlton,.098591551,.78873241,.11267605,.22535211,.77464789
2015,Pipestone,.024390243,.87804878,.097560972,.097560972,.902439
2015,Rock,0,.97727275,.022727273,.022727273,.97727275
2015,Redwood,0,.93333334,.06666667,.06666667,.93333334
2015,Hubbard,.032258064,.91935486,.048387095,.20967741,.7903226
2015,Kanabec,.028571429,.88571429,.085714288,.085714288,.91428572
2015,Waseca,.03846154,.90384614,.057692308,.057692308,.94230771
2015,Koochiching,0,.83333331,.16666667,.16666667,.83333331
2015,Lake,0,.93333334,.06666667,.06666667,.93333334
2015,Yellow Medicine,.044444446,.8888889,.06666667,.11111111,.8888889
2015,Lac qui Parle,.043478262,.82608694,.13043478,.13043478,.86956519
2015,Grant,0,.80000001,.2,.25,.75
2015,Pine,.018518519,.87037039,.11111111,.22222222,.77777779
2015,Lincoln,0,.875,.125,.125,.875
2015,Marshall,.027777778,.8611111,.11111111,.11111111,.8888889
2015,Aitkin,0,.875,.125,.15625,.84375
2015,Swift,.027777778,.8888889,.083333336,.11111111,.8888889
2015,Becker,.034782607,.87826085,.086956523,.2173913,.78260869
2015,Isanti,.13461539,.78846157,.07692308,.17307693,.82692307
2015,Mahnomen,0,.63636363,.36363637,.63636363,.36363637
2015,Kittson,0,.875,.125,.125,.875
2015,Lake of the Woods,0,.89999998,.1,.2,.80000001
2015,Big Stone,0,.89473683,.10526316,.10526316,.89473683
2015,Faribault,.10526316,.81578946,.078947365,.15789473,.84210527
2015,Traverse,0,.83333331,.16666667,.16666667,.83333331
2015,Jackson,.054054055,.83783782,.10810811,.10810811,.8918919
2016,Freeborn,.047619049,.8888889,.063492067,.11111111,.8888889
2016,Washington,.11464968,.81104034,.074309982,.16985138,.83014864
2016,Kandiyohi,.044247787,.88495576,.07079646,.16814159,.8318584
2016,Olmsted,.08219178,.87671232,.04109589,.12100457,.87899542
2016,Winona,.060606062,.87878788,.060606062,.090909094,.90909094
2016,Ramsey,.23600605,.67322236,.090771556,.26475039,.73524964
2016,Wadena,.048780486,.80487806,.14634146,.19512194,.80487806
2016,Dakota,.14879356,.80697054,.044235926,.12868632,.87131369
2016,Anoka,.12322275,.81832546,.058451816,.15797788,.84202212
2016,Polk,.067307696,.83653843,.096153848,.17307693,.82692307
2016,Wabasha,.031746034,.90476191,.063492067,.15873016,.84126985
2016,Todd,.01754386,.82456142,.15789473,.21052632,.78947371
2016,Nobles,.039999999,.80000001,.16,.2,.80000001
2016,Hennepin,.29503545,.62695038,.078014188,.21276596,.78723407
2016,Pennington,.032258064,.91935486,.048387095,.064516127,.93548387
2016,Mower,.024096385,.87951809,.096385539,.12048193,.87951809
2016,Scott,.067164183,.9004975,.03233831,.079601988,.920398
2016,Dodge,.027027028,.93243241,.040540539,.040540539,.95945948
2016,Stearns,.063457333,.89059079,.045951858,.098468274,.90153176
2016,Goodhue,.054054055,.87387389,.072072074,.12612613,.87387389
2016,Wright,.041176472,.89411765,.064705886,.10294118,.89705884
2016,Lyon,.058333334,.85833335,.083333336,.125,.875
2016,Fillmore,.079999998,.80000001,.12,.12,.88
2016,Le Sueur,.011627907,.90697676,.08139535,.11627907,.88372093
2016,Rice,.043478262,.92028987,.036231883,.057971016,.942029
2016,Mille Lacs,.098039217,.80392158,.098039217,.13725491,.86274511
2016,Houston,.028571429,.88571429,.085714288,.12857144,.87142855
2016,Beltrami,.03305785,.87603307,.090909094,.12396694,.87603307
2016,Sherburne,.068965517,.89224136,.038793102,.06465517,.93534482
2016,Martin,.027777778,.8888889,.083333336,.083333336,.91666669
2016,Otter Tail,.034482758,.88275862,.08275862,.12413793,.87586206
2016,Saint Louis,.12662338,.75324672,.12012987,.18506494,.81493509
2016,McLeod,.054545455,.86363637,.081818178,.10909091,.89090908
2016,Clay,.062146891,.89265537,.04519774,.10734463,.89265537
2016,Morrison,.027027028,.8918919,.081081077,.1981982,.8018018
2016,Chippewa,.02631579,.89473683,.078947365,.13157895,.86842108
2016,Red Lake,.043478262,.73913044,.2173913,.26086956,.73913044
2016,Murray,.045454547,.86363637,.090909094,.090909094,.90909094
2016,Carver,.16763006,.78612715,.046242774,.12138728,.8786127
2016,Stevens,.030303031,.84848487,.12121212,.18181819,.81818181
2016,Blue Earth,.12258065,.81290323,.064516127,.1032258,.89677417
2016,Steele,.037313432,.91791046,.044776119,.059701491,.9402985
2016,Brown,.04040404,.87878788,.080808081,.17171717,.82828283
2016,Benton,.034013607,.94557822,.020408163,.047619049,.95238096
2016,Crow Wing,.11666667,.81666666,.06666667,.11666667,.88333333
2016,Cass,.016666668,.76666665,.21666667,.38333333,.61666667
2016,Watonwan,.13043478,.78260869,.086956523,.2173913,.78260869
2016,Douglas,.030075189,.91729325,.052631579,.075187966,.92481202
2016,Cook,.083333336,.83333331,.083333336,.33333334,.66666669
2016,Meeker,.048780486,.82926828,.12195122,.14634146,.85365856
2016,Nicollet,.13414635,.81707317,.048780486,.085365854,.91463417
2016,Cottonwood,.024390243,.87804878,.097560972,.12195122,.87804878
2016,Roseau,0,.92753625,.072463766,.10144927,.89855075
2016,Clearwater,0,.875,.125,.25,.75
2016,Itasca,.078651689,.76404494,.15730338,.34831461,.65168542
2016,Norman,.055555556,.77777779,.16666667,.16666667,.83333331
2016,Chisago,.072916664,.85416669,.072916664,.09375,.90625
2016,Koochiching,0,.83333331,.16666667,.16666667,.83333331
2016,Carlton,.10606061,.78787881,.10606061,.30303031,.69696969
2016,Pipestone,.02631579,.84210527,.13157895,.15789473,.84210527
2016,Rock,0,.95238096,.047619049,.047619049,.95238096
2016,Redwood,0,.90196079,.098039217,.11764706,.88235295
2016,Hubbard,.03773585,.9245283,.03773585,.3018868,.6981132
2016,Faribault,.13513513,.78378379,.081081077,.1891892,.8108108
2016,Waseca,.045454547,.86363637,.090909094,.090909094,.90909094
2016,Sibley,0,.90384614,.096153848,.13461539,.86538464
2016,Lake,0,.91666669,.083333336,.083333336,.91666669
2016,Yellow Medicine,.04255319,.87234044,.08510638,.19148937,.80851066
2016,Grant,0,.76190478,.23809524,.2857143,.71428573
2016,Pine,.039215688,.86274511,.098039217,.23529412,.7647059
2016,Lac qui Parle,.047619049,.80952382,.14285715,.14285715,.85714287
2016,Aitkin,0,.84615386,.15384616,.1923077,.80769229
2016,Lincoln,0,.86363637,.13636364,.13636364,.86363637
2016,Pope,.037037037,.8888889,.074074075,.074074075,.92592591
2016,Marshall,.030303031,.81818181,.15151516,.18181819,.81818181
2016,Swift,.032258064,.80645162,.16129032,.16129032,.83870965
2016,Kanabec,.055555556,.8611111,.083333336,.22222222,.77777779
2016,Becker,.039215688,.85294116,.10784314,.30392158,.69607842
2016,Isanti,.13333334,.77777779,.088888891,.22222222,.77777779
2016,Mahnomen,0,.71428573,.2857143,.5714286,.42857143
2016,Renville,.078947365,.78947371,.13157895,.13157895,.86842108
2016,Kittson,0,.78947371,.21052632,.21052632,.78947371
2016,Lake of the Woods,0,.77777779,.22222222,.33333334,.66666669
2016,Big Stone,0,.83333331,.16666667,.16666667,.83333331
2016,Jackson,.055555556,.80555558,.1388889,.16666667,.83333331
2016,Traverse,0,.83333331,.16666667,.16666667,.83333331
2016,Wilkin,0,.82608694,.17391305,.17391305,.82608694
2017,Freeborn,.049180329,.86885244,.081967212,.14754099,.85245901
2017,Washington,.12173913,.80217391,.076086953,.18913044,.81086957
2017,Kandiyohi,.046296295,.8888889,.064814813,.18518518,.81481481
2017,Olmsted,.083732061,.86842108,.047846891,.13875598,.86124402
2017,Winona,.078651689,.83146065,.089887641,.15730338,.84269661
2017,Wadena,.057142857,.77142859,.17142858,.25714287,.74285716
2017,Ramsey,.25,.64715189,.1028481,.27848101,.72151899
2017,Dakota,.15994437,.78859526,.051460363,.15159944,.84840053
2017,Anoka,.12892562,.8066116,.064462811,.18347107,.81652892
2017,Polk,.068627454,.83333331,.098039217,.16666667,.83333331
2017,Wabasha,.029850746,.91044778,.059701491,.14925373,.85074627
