year,mnsendist,s_mnsendist_N_below_supply,s_mnsendist_N_above_cost,s_mnsendist_N_below_quality
2018,53,.45503116,.97417629,.59038287
2016,53,.49243098,.99376673,.67052537
2014,53,.59127337,.99643809,.53695458
2017,53,.43900266,.99287623,.62600178
2013,53,.61264467,.9910953,.68032056
2017,54,.56974459,.2475442,.23182711
2015,54,.63654226,.62082517,.25736737
2014,54,.62868369,.66110021,.27603143
2013,54,.63064831,.72888017,.38899803
2016,54,.53438115,.24459726,.35559922
2012,54,.52259332,.80353636,
2018,54,.60412574,.36444008,.19842829
2013,55,.46983105,.91552693,.084473051
2012,55,.43121481,.88576025,
2015,55,.59050685,.90104586,.063555911
2016,55,.55913115,.8447305,.069991954
2017,55,.59452939,.86886567,.093322605
2018,55,.49235719,.77393401,.10941271
2014,55,.55671763,.88576025,.058728881
2016,56,.40469483,1,.35492957
2015,56,.40938967,1,.5314554
2013,56,.31173709,1,.53990608
2014,56,.38779342,1,.41032863
2017,56,.41220656,1,.30046949
2018,56,.40657276,1,.29107982
2012,56,.29014084,1,
2017,57,.33023649,.9856419,.46537161
2014,57,.48902026,.99662161,.47297296
2016,57,.31587839,.99746621,.2964527
2018,57,.37922296,1,.4831081
2015,57,.45016891,.99493241,.35557431
2013,57,.41469595,.99577701,.64358109
2012,57,.34121621,.99662161,
2016,58,.57346392,.61353517,.269813
2015,58,.82101512,.68121105,.25734639
2012,58,.6197685,.70347285,
2014,58,.71415848,.70614427,.26892254
2018,58,.67764914,.71772039,.20658949
2013,58,.68210149,.6990205,.36954585
2017,58,.50489759,.61175424,.35975066
2017,59,.57855129,1,.64440262
2018,59,.44496706,1,.83254939
2012,59,.75540924,1,
2013,59,.69802445,1,.69049859
2014,59,.74882406,1,.607714
2016,59,.56444025,1,.67074317
2015,59,.7544685,1,.65380996
2014,60,.55256063,1,.55390835
2015,60,.55256063,1,.69137466
2018,60,.34636119,1,.87870622
2017,60,.32479784,1,.7304582
2016,60,.41105121,1,.76280326
2013,60,.68194067,1,.59973043
2012,60,.82479787,1,
2014,61,.83375317,1,.40302268
2018,61,.75566751,1,.71662468
2012,61,.91057932,1,
2017,61,.78841311,1,.4672544
2015,61,.86020154,1,.48236775
2016,61,.81108314,1,.42947105
2013,61,.91561711,1,.40806046
2016,62,.17296678,1,.78694159
2012,62,.40320733,1,
2013,62,.39977092,1,.64261168
2017,62,.13172966,1,.79839635
2018,62,.032073312,1,1
2015,62,.20847651,1,.76517755
2014,62,.22451317,1,.69072163
2013,63,.8554337,1,.22133599
2012,63,.92622131,1,
2015,63,.69591224,1,.35094717
2017,63,.52841473,1,.36989033
2018,63,.5802592,1,.47058824
2016,63,.56231308,1,.37387836
2014,63,.72881359,1,.26221335
2016,64,.49305555,1,.70555556
2014,64,.67777777,1,.44166666
2018,64,.64999998,1,.43472221
2017,64,.36527777,1,.70694447
2015,64,.50833333,1,.55000001
2013,64,.63333333,1,.47916666
2012,64,.70555556,1,
2015,65,.58730161,.93055558,.95634919
2013,65,.47123015,.97916669,.98313493
2016,65,.53174603,.76884919,.96924603
2018,65,.68055558,1,.70039684
2012,65,.64484125,.81448412,
2017,65,.43253967,.83432537,.93948412
2014,65,.65972221,.95238096,.90178573
2017,66,.88023371,.48490751,.49269718
2013,66,.89094448,.74488801,.46932814
2014,66,.95423561,.71957159,.1187926
2016,66,.91723466,.48490751,.50827652
2012,66,.89776045,.68549174,
2018,66,.94936711,1,.34371957
2015,66,.92015582,.66309637,.37974682
2012,67,.96058393,.7883212,
2016,67,.99051094,.7408759,.71751827
2015,67,.97737229,.92043793,.58394158
2018,67,.99708027,.99708027,.09708029
2014,67,.97007298,.91605842,.40218979
2017,67,.98467153,.79489052,.47153285
2013,67,.97299272,.89999998,.51751822
