year,ED_region,county,Price,Capacity,ShareCCC,ShareFCC,SharePublic,ShareHighRated,ShareLowRated,t_underSA_cap,t_underSA_cap_pCCC,t_underSA_cap_FCC,t_underSA_cap_public,t_underSA_cap_HR,t_underSA_cap_pq12,region
2013,Southern,Steele,110.13345,13.037028,.037267081,.95031059,.01242236,.018633541,.98136646,2098.9617,477.95209,1524.0095,97,293.62585,1805.3357,Greater MN
2013,Headwaters,Clearwater,84.589394,11.055238,0,.85000002,.15000001,.2,.80000001,221.10477,0,156.10477,65,72.300003,148.80476,Greater MN
2013,Southern,Winona,110.68305,12.015289,.046979867,.93288589,.020134227,.033557046,.96644294,1790.2782,404.06384,1300.2142,86,227.38797,1562.8901,Greater MN
2013,Southwest,Murray,90.268845,11.064828,.034482758,.96551722,0,0,1,320.88,57.47525,263.40475,0,0,320.88,Greater MN
2013,Southwest,Rock,99.37188,9.7299995,0,1,0,0,1,486.5,0,486.5,0,0,486.5,Greater MN
2013,Northwest,Pennington,103.28407,10.925935,.029411765,.95588237,.014705882,.014705882,.9852941,742.96356,111.92549,611.03809,20,20,722.96356,Greater MN
2013,Southcentral,Watonwan,90.486023,13.54037,.09375,.875,.03125,.03125,.96875,433.29184,131.32516,284.96667,17,17,416.29184,Greater MN
2013,Central,Benton,115.97701,11.384486,.017857144,.97619045,.0059523811,.0059523811,.99404764,1912.5936,225.55081,1623.0428,64,64,1848.5936,Greater MN
2013,Arrowhead,Lake,111.04769,10.648418,.055555556,.8888889,.055555556,.055555556,.94444442,191.67154,24.200106,144.47144,23,23,168.67154,Greater MN
2013,Southeast,Goodhue,125.32159,11.448118,.046153847,.93846154,.015384615,.015384615,.98461539,1488.2554,264.68866,1183.5667,40,40,1448.2554,Greater MN
2013,Northwest,Polk,105.76524,12.978641,.055555556,.9074074,.037037037,.064814813,.93518519,1401.6932,181.65034,933.04285,287,348.59393,1053.0992,Greater MN
2013,EastCentral,Mille Lacs,113.48139,18.22566,.070175439,.91228068,.01754386,.052631579,.94736844,1038.8627,375.85788,490.00476,173,247.28152,791.58112,Greater MN
2013,Southcentral,Nicollet,120.91534,15.303443,.086021505,.91397852,0,.032258064,.96774191,1423.2202,595.38208,827.83807,0,30,1393.2202,Greater MN
2013,Southwest,Lincoln,98.395279,9.9708338,0,1,0,0,1,239.3,0,239.3,0,0,239.3,Greater MN
2013,Westcentral,Stevens,100.38149,11.499259,.025641026,.94871795,.025641026,.025641026,.97435898,448.4711,65.037781,363.43332,20,20,428.4711,Greater MN
2013,Northwest,Marshall,95.44223,10.563779,.055555556,.8611111,.083333336,.083333336,.91666669,380.29602,43.862694,288.43332,48,48,332.29602,Greater MN
2013,Southcentral,Waseca,103.20538,10.632604,.029411765,.95588237,.014705882,.014705882,.9852941,723.01709,90.750397,615.26666,17,17,706.01709,Greater MN
2013,Southcentral,Faribault,85.529739,13.473546,.06666667,.83333331,.1,.1,.89999998,404.20639,94.006386,248.2,62,62,342.20639,Greater MN
2013,UpperMNvalley,Chippewa,91.4394,12.183115,.027027028,.91891891,.054054055,.054054055,.94594592,450.77524,57.47525,333.29999,60,60,390.77524,Greater MN
2013,Headwaters,Beltrami,107.39446,13.45083,.046511628,.90697676,.046511628,.046511628,.95348835,1735.157,244.7818,1067.3752,423,423,1312.157,Greater MN
2013,NorthCentral,Morrison,101.23721,10.447372,.025,.95833331,.016666668,.025,.97500002,1253.6847,67.375198,1098.3096,88,98,1155.6847,Greater MN
2013,Southcentral,Sibley,109.76385,9.8672619,0,.9464286,.053571429,.053571429,.9464286,552.56665,0,522.56665,30,30,522.56665,Greater MN
2013,Southcentral,Le Sueur,121.14367,10.384004,0,.98058254,.019417476,.019417476,.98058254,1069.5524,0,945.55237,124,124,945.55237,Greater MN
2013,Southwestcentral,Meeker,100.39133,12.873745,.043478262,.9130435,.043478262,.065217391,.93478262,592.19226,136.1256,396.06668,60,70,522.19226,Greater MN
2013,Southwest,Nobles,84.347191,11.86151,.041666668,.89583331,.0625,.0625,.9375,569.35248,93.019157,399.33334,77,77,492.35248,Greater MN
2013,Westcentral,Pope,100.36386,11.512381,.051282052,.8974359,.051282052,.051282052,.94871795,448.98285,91.506653,305.4762,52,52,396.98285,Greater MN
2013,Southeast,Dodge,121.26558,11.344944,.011235955,.96629214,.02247191,.02247191,.9775281,1009.7,124,830.70001,55,55,954.70001,Greater MN
2013,UpperMNvalley,Yellow Medicine,93.308548,10.330525,.01923077,.92307693,.057692308,.07692308,.92307693,537.18732,31.006386,453.18094,53,84.006386,453.18094,Greater MN
2013,Arrowhead,Aitkin,112.07097,12.180789,.032258064,.93548387,.032258064,.064516127,.93548387,377.60446,65.037781,279.56668,33,43,334.60446,Greater MN
2013,Southeast,Houston,104.23271,10.097806,.025316456,.92405063,.050632913,.050632913,.94936711,797.72662,102.85045,644.87622,50,50,747.72662,Greater MN
2013,Westcentral,Becker,109.3286,10.888486,.016393442,.93442625,.049180329,.17213115,.82786888,1328.3953,44,1057.3953,227,386.58572,941.80951,Greater MN
2013,EastCentral,Kanabec,104.92647,22.329573,.029411765,.94117647,.029411765,.029411765,.97058821,759.20551,31.762638,314.44287,413,413,346.20551,Greater MN
2013,Northwest,Norman,88.416229,13.190909,.045454547,.86363637,.090909094,.13636364,.86363637,290.20001,69,171.2,50,119,171.2,Greater MN
2013,Southwest,Redwood,99.123405,10.165641,.015384615,.96923077,.015384615,.015384615,.98461539,660.76666,40,602.76666,18,18,642.76666,Greater MN
2013,Headwaters,Lake of the Woods,86.901047,10.158442,0,.90909094,.090909094,.090909094,.90909094,111.74286,0,87.742859,24,24,87.742859,Greater MN
2013,EastCentral,Pine,119.03616,10.128493,.016393442,.96721309,.016393442,.065573767,.93442625,617.83807,34,555.83807,28,82,535.83807,Greater MN
2013,Headwaters,Hubbard,105.15399,11.348008,.03846154,.94230771,.01923077,.07692308,.92307693,590.09644,71.844063,448.25238,70,97.300003,492.79645,Greater MN
2013,Westcentral,Traverse,90.040642,10.6625,0,.875,.125,.125,.875,170.60001,0,138.60001,32,32,138.60001,Greater MN
2013,Southwestcentral,Kandiyohi,105.18883,10.898894,.024390243,.9512195,.024390243,.040650405,.95934957,1340.564,213.0878,1031.4762,96,169.60001,1170.964,Greater MN
2013,NorthCentral,Wadena,95.094299,10.575658,.025,.875,.1,.15000001,.85000002,423.02634,30.250132,304.77618,88,108,315.02634,Greater MN
2013,Northwest,Kittson,83.022644,9.2933331,0,.85000002,.15000001,.15000001,.85000002,185.86667,0,149.86667,36,36,149.86667,Greater MN
2013,Southwest,Jackson,97.658508,11.623761,.050000001,.92500001,.025,.025,.97500002,464.95044,102.85045,342.10001,20,20,444.95044,Greater MN
2013,Northwest,Red Lake,76.456833,18.5553,.041666668,.83333331,.125,.125,.875,445.32721,29.493879,182.83333,233,233,212.32721,Greater MN
