year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2017,32A,.76580799,.023419203,.16861826
2012,32A,.72833723,.05386417,
2014,32A,.69320846,.051522247,.23653395
2016,32A,.77985948,.028103044,.37236533
2015,32A,.69555032,.030444965,.2974239
2018,32B,.6122449,.083900228,.18594104
2012,32B,.57369614,.20408164,
2016,32B,.66439909,.040816326,.17233559
2013,32B,.58276641,.12471655,.24489796
2014,32B,.57369614,.049886622,.29251701
2015,32B,.6122449,.047619049,.25170067
2017,32B,.51247168,.058956917,.37188208
2013,33A,.8125,.72443181,.11363637
2016,33A,.71022725,.78693181,.36363637
2017,33A,.71306819,.75,.31818181
2012,33A,.81534094,.72727275,
2014,33A,.75852275,.75852275,.32102272
2015,33A,.73863637,.79545456,.34090909
2018,33A,.71590906,.80681819,.33806819
2012,33B,.66753924,.97120416,
2017,33B,.41361257,.76963353,.47905758
2015,33B,.513089,.79842931,.58115184
2016,33B,.50785339,.84031415,.49476439
2018,33B,.42931938,.82984293,.473822
2014,33B,.69895285,.79581153,.51570678
2013,33B,.74083769,.94502616,.47905758
2018,34A,.5706107,.94847327,.53244275
2014,34A,.70610684,.91221374,.2461832
2013,34A,.68893129,.88167942,.26526716
2016,34A,.68702292,.91030532,.34732825
2015,34A,.70419848,.92175573,.23282443
2017,34A,.73091602,.94656491,.30343512
2012,34A,.67748094,.88740456,
2014,34B,.49606299,1,.52755904
2018,34B,.38740158,1,.58110237
2013,34B,.53543305,1,.52440947
2016,34B,.40157479,1,.5905512
2012,34B,.5102362,1,
2017,34B,.4062992,1,.56850392
2015,34B,.45984253,1,.54330707
2014,35A,.34782609,.85869563,.55869567
2015,35A,.38260868,.89130437,.51086956
2017,35A,.42391303,.76086956,.42608696
2016,35A,.38913044,.69130433,.45652175
2013,35A,.34347826,.88043481,.53043479
2012,35A,.34130436,.86739129,
2018,35A,.4152174,.72173911,.48695651
2015,35B,.44351465,.751046,.51882845
2017,35B,.39958158,.69456065,.52510458
2014,35B,.43933055,.74686193,.52719665
2018,35B,.39539748,.64225942,.57740587
2013,35B,.35564855,.68828452,.54811716
2016,35B,.39748955,.68410039,.57531381
2012,35B,.33054394,.71757323,
2013,36A,.46216768,.96114522,.63394684
2014,36A,.56032717,.87525564,.58077711
2016,36A,.45194274,.86298567,.58077711
2012,36A,.49693251,.9447853,
2018,36A,.40695298,.86707568,.44376278
2015,36A,.5398773,.87321061,.58077711
2017,36A,.50920248,.83640081,.39468303
2016,36B,.63429755,.91115701,.50413221
2013,36B,.78099173,.83471072,.35537189
2017,36B,.57024795,.73966944,.6095041
2014,36B,.76033056,.75826448,.46487603
2012,36B,.8140496,.79752064,
2015,36B,.61776859,.92148763,.59504133
2018,36B,.58677685,.91942149,.45867768
2015,37A,.61610484,1,.50374532
2018,37A,.72846442,.99625468,.5636704
2016,37A,.68164796,1,.70037454
2014,37A,.42322096,.68913859,.81086141
2017,37A,.59176028,.47940075,.82584268
2013,37A,.41760299,.56179774,.87078649
2012,37A,.34831461,.53745317,
2017,37B,.68915343,1,.49867725
2015,37B,.8214286,1,.24735449
2013,37B,.79497355,1,.39814815
2014,37B,.76587301,1,.29100528
2012,37B,.7248677,1,
2016,37B,.73015875,1,.33333334
2018,37B,.68783069,1,.46296296
2018,38A,.47071129,.54393303,.60669458
2012,38A,.48117155,.82008368,
2014,38A,.45188284,.583682,.47907948
2016,38A,.43933055,.57112968,.50836819
2017,38A,.46652719,.60041839,.59623432
2013,38A,.52510458,.84100419,.44351465
2015,38A,.45188284,.56485355,.51046026
2017,38B,.78540772,.90987122,.2639485
2013,38B,.75107294,.92489272,.52360517
2018,38B,.80901289,.88626611,.49570817
2012,38B,.74034333,.93133044,
2014,38B,.70600861,.95922744,.51287556
2015,38B,.72317594,.93133044,.44849786
2016,38B,.72103006,.93991417,.48068669
2014,39A,.59330142,.58851677,.54066986
2013,39A,.62918663,.69138753,.54306221
